,Кодировка,Балл ЕГЭ,Код ученика
281,soc_ege_max_w2_071018_1volgd,62.0,s174
282,soc_ege_opt_w2_101218_16surgt,49.0,s175
283,mat_ege_opt_w2_131218_19surgt,18.0,s175
284,INF_EGE_MAX_W1_080918_26Okm,91.0,s176
285,soc_ege_max_w1_080918_80okm,57.0,s176
286,his_opt_w2_311018_4aim,52.0,s177
287,phi_ege_max_w2_071018_24knn,90.0,s178
288,mat_ege_max_w1_030918_49okm,50.0,s179
289,soc_ege_max_w1_030918_99okm,63.0,s179
290,soc_ege_max_w1_040918_63vpspb,71.0,s180
291,his_ege_max_w1_050918_19vpspb,71.0,s180
292,rus_ege_max_w2_240918_1irk,64.0,s181
293,soc_ege_max_w2_041018_3irk,51.0,s181
294,rus_ege_max_w2_260918_4irk,69.0,s182
295,rus_opt_w2_021218_10vpspb,80.0,s183
296,soc_ege_max_w2_011018_66vpspb,61.0,s183
297,rus_ege_int_w2_070219_1mgnsk,87.0,s184
298,inf_ege_max_w1_040918_41mgnsk,91.0,s185
299,mat_ege_max_w1_030918_7mgnsk,76.0,s185
300,rus_ege_max_w1_060918_2mgnsk,85.0,s185
301,mat_ege_max_w2_061018_62kum,74.0,s186
302,soc_ege_max_w1_070918_82okm,79.0,s187
303,eng_ege_max_w1_050918_1blm,82.0,s187
304,rus_ege_max_w1_040918_121okm,87.0,s187
305,mat_ege_max_w1_060918_74okm,82.0,s187
306,INF_EGE_MAX_W1_080918_26Okm,55.0,s188
307,mat_ege_max_w1_090918_41blm,68.0,s188
308,phi_ege_max_w1_080918_137okm,53.0,s188
309,eng_int_on_w2_050219_1kumsk,68.0,s189
310,rus_ege_max_w1_090918_126blm,100.0,s190
311,mat_ege_max_w1_090918_41blm,62.0,s190
312,che_ege_max_w1_060918_143kum,40.0,s190
313,che_ege_max_w1_030918_106vpspb,71.0,s191
314,soc_ege_int_w1_200119_6airmsk,66.0,s192
315,soc_ege_int_ctp_mini_on_100219_2web,79.0,s193
316,phi_ege_max_w1_080918_137okm,84.0,s194
317,mat_ege_max_w2_021018_46kum,50.0,s195
318,phi_ege_max_w2_041018_132kum,42.0,s195
319,rus_ege_max_w2_041018_110kum,73.0,s196
320,mat_ege_max_w1_040918_43kum,82.0,s197
